apple pomme
airport aéroport
animal animal
able capable
access accès
accident accident
account compte
adventure aventure
age âge
aim objectif
hair cheveux
hand main
happy heureux/heureuse
hard dur/difficile
hate détester
have avoir
head tête
health santé
heart cœur
help aider
hello bonjour
idea idée
imagine imaginer
important important/important
improve améliorer
information information
inside à-l'intérieur
instead au-lieu-de
interest intérêt
interesting intéressant
invite inviter
i je
you toi
me moi
want vouloir
coffe café
machine machine
magic magie
mail courrier
main principal
make faire
man homme
many beaucoup/de-nombreuses
market marché
marry se-marier
matter importer
