apple manzana
airport aeropuerto
animal animal
able capaz
access acceso
accident accidente
account cuenta
adventure aventura
age edad
aim objetivo
hair cabello
hand mano
happy feliz
hard duro
hate odiar
have tener
head cabeza
health salud
heart corazón
help ayudar
hello hola
idea idea
imagine imaginar
important importante
improve mejorar
information información
inside adentro
instead en-lugar-de
interest interés
interesting interesante
invite invitar
i yo 
you tu 
me mi 
want quiero
coffe cafe
machine máquina
magic magia
mail correo
main principal
make hacer
man hombre
many muchos/muchas
market mercado
marry casarse
matter importar
